id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_engagements,first_engagement_date,last_engagement_date,engagement_length_days,engagement_count_lag_1,engagement_count_lag_2,engagement_count_lag_5,engagement_count_lag_7,engagement_count_rolling_avg_7,rolling_std_7_x,rolling_median_7_x,weekly_engagement_rate,cumulative_engagement_count,days_since_last_engagement,prev_engagement_type_0,prev_engagement_type_Campaign - Mailer,prev_engagement_type_Campaign - Other,prev_engagement_type_Campaign - Referral Program,prev_engagement_type_Campaign - Webinar,prev_engagement_type_Event - Roadshow,prev_engagement_type_Field Event,prev_engagement_type_Field Marketing,prev_engagement_type_GC,prev_engagement_type_Inbound Leads,prev_engagement_type_Partners,prev_engagement_type_SB,prev_engagement_type_webpage visit from ads,prev_engagement_type_webpage visits,avg_time_between_engagements,most_common_engagement_type_Campaign - Mailer,most_common_engagement_type_Campaign - Other,most_common_engagement_type_Campaign - Referral Program,most_common_engagement_type_Campaign - Webinar,most_common_engagement_type_Field Event,most_common_engagement_type_GC,most_common_engagement_type_Inbound Leads,most_common_engagement_type_Partners,most_common_engagement_type_webpage visit from ads,most_common_engagement_type_webpage visits,total_actions,first_action_date,last_action_date,click_count,reply_count,email_interaction_length_days,action_count_lag_1,action_count_lag_2,action_count_lag_5,action_count_lag_7,action_count_rolling_avg_7,rolling_std_7_y,rolling_median_7_y,weekly_interaction_rate,cumulative_action_count,cumulative_click_count,cumulative_reply_count,days_since_last_action,avg_time_between_interactions,total_intents,first_intent_date,last_intent_date,intent_length_days,intent_count_lag_1,intent_count_lag_2,intent_count_lag_5,intent_count_lag_7,intent_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_intent_rate,cumulative_intent_count,days_since_last_intent,prev_bucket_0,prev_bucket_Brand,prev_bucket_Competitor,prev_bucket_Compliance,prev_bucket_Industrial,prev_bucket_Procurement,prev_bucket_Safety,prev_bucket_Telematics,avg_time_between_intents,most_common_intent_Brand,most_common_intent_Competitor,most_common_intent_Compliance,most_common_intent_Industrial,most_common_intent_Procurement,most_common_intent_Safety,most_common_intent_Telematics,D&B_Score,target_met
2744,1,0,0,0,0,1,24.0,0,0,0,0,1,0,Manufacturing,TX,2,2023-03-08,2024-01-15,313,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,156.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,313.0,0,0,0,0,0,0,0,0,1,0,2,2022-03-04 15:38:26+00:00,2022-05-24 12:52:39+00:00,0,2,80,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,65.50764655904842,80.0,8,2021-03-08,2024-02-08,1067,0.875,0.75,0.375,0.125,0.25,0.0,0.25,0.25,4.5,133.375,1,0,0,1,0,1,1,1,152.42857142857142,0,0,1,0,0,0,0,HIGH,0
2786,0,0,0,0,1,1,137.0,0,1,0,0,1,0,Manufacturing,TX,36,2021-08-16,2024-02-02,900,0.9722222222222222,0.9444444444444444,0.8611111111111112,0.8055555555555556,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,18.5,25.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,25.714285714285715,0,0,0,0,0,0,0,0,1,0,11,2022-04-20 14:41:39+00:00,2023-10-13 00:03:48+00:00,11,0,540,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,1.0,0.0,1.0,1.0,6.0,6.0,0.0,53.728663010736085,54.0,286,2021-02-01,2024-02-28,1122,0.9965034965034965,0.993006993006993,0.9825174825174825,0.9755244755244755,0.9790209790209791,0.0,0.9790209790209791,0.9790209790209791,143.5,3.923076923076923,1,0,1,1,1,1,1,1,3.9368421052631577,0,0,0,0,1,0,0,HIGH,0
3004,0,0,0,0,1,1,58.0,0,0,0,1,1,0,Manufacturing,WI,54,2021-04-08,2023-10-19,924,0.9814814814814815,0.9629629629629629,0.9074074074074074,0.8703703703703703,0.8888888888888888,0.0,0.8888888888888888,0.8888888888888888,27.5,17.11111111111111,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.433962264150942,0,0,0,0,0,0,0,0,1,0,1,2024-03-05 18:02:58+00:00,2024-03-05 18:02:58+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,583,2021-01-31,2024-02-28,1123,0.9982847341337907,0.9965694682675815,0.9914236706689536,0.9879931389365352,0.9897084048027445,0.0,0.9897084048027445,0.9897084048027445,292.0,1.9262435677530017,1,1,1,1,0,1,1,1,1.929553264604811,0,0,0,0,1,0,0,HIGH,0
297,1,0,0,0,0,1,35.0,0,0,0,1,1,0,HealthCareSocialAssistance,MO,11,2022-06-16,2023-10-09,480,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.0,0.45454545454545453,0.45454545454545453,6.0,43.63636363636363,1,0,0,0,0,0,0,0,0,1,0,0,1,0,48.0,0,0,0,0,0,0,0,0,1,0,63,2020-06-02 20:46:23+00:00,2023-11-13 18:23:37+00:00,9,54,1258,0.9841269841269841,0.9682539682539683,0.9206349206349206,0.8888888888888888,1.0,0.0,1.0,1.0,32.0,5.412698412698413,26.58730158730159,20.412941160604714,19.919354838709676,3,2022-09-03,2024-01-28,512,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,170.66666666666666,1,0,0,0,0,0,1,1,256.0,0,0,0,0,0,1,0,HIGH,1
1171,0,0,0,1,0,1,31.0,0,0,0,1,1,0,HealthCareSocialAssistance,HI,79,2021-04-10,2024-01-29,1024,0.9873417721518988,0.9746835443037974,0.9367088607594937,0.9113924050632911,0.9240506329113924,0.0,0.9240506329113924,0.9240506329113924,40.0,12.962025316455696,1,0,0,0,0,0,0,0,0,1,0,0,1,1,13.128205128205128,0,0,0,0,0,0,0,0,1,0,1,2021-02-25 19:33:16+00:00,2021-02-25 19:33:16+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,739,2021-01-31,2024-03-02,1126,0.9986468200270636,0.9972936400541272,0.993234100135318,0.9905277401894452,0.9918809201623816,0.0,0.9918809201623816,0.9918809201623816,370.0,1.523680649526387,1,1,1,1,0,1,1,1,1.5257452574525745,0,0,0,0,1,0,0,HIGH,0
2378,1,0,0,0,0,0,25.0,0,0,0,0,1,0,HealthCareSocialAssistance,OR,292,2021-04-08,2024-02-06,1034,0.9965753424657534,0.9931506849315068,0.9828767123287672,0.976027397260274,0.9794520547945206,0.0,0.9794520547945206,0.9794520547945206,146.5,3.541095890410959,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.5532646048109964,0,0,0,0,0,0,0,0,1,0,2,2021-06-28 19:20:48+00:00,2022-02-23 00:04:45+00:00,2,0,239,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.5,0.0,145.00764655904842,239.0,1199,2021-01-31,2024-03-04,1128,0.9991659716430359,0.9983319432860718,0.9958298582151793,0.994161801501251,0.9949958298582152,0.0,0.9949958298582152,0.9949958298582152,600.0,0.9407839866555463,1,1,1,1,1,1,1,1,0.9415692821368948,0,0,0,0,1,0,0,HIGH,0
135,0,0,0,1,0,1,200.0,0,1,0,0,1,0,FoodBeverage,OR,65,2021-04-08,2024-03-06,1063,0.9846153846153847,0.9692307692307692,0.9230769230769231,0.8923076923076924,0.9076923076923077,0.0,0.9076923076923077,0.9076923076923077,33.0,16.353846153846153,1,0,0,0,0,0,0,0,1,1,0,0,1,1,16.609375,0,0,0,0,0,0,0,0,1,0,5,2023-01-09 23:14:38+00:00,2024-01-12 18:59:28+00:00,3,2,367,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.4,1.6,83.40305862361937,91.5,239,2021-02-05,2024-02-29,1119,0.99581589958159,0.9916317991631799,0.9790794979079498,0.9707112970711297,0.9748953974895398,0.0,0.9748953974895398,0.9748953974895398,120.0,4.682008368200837,1,1,1,1,0,1,1,1,4.701680672268908,0,0,0,0,1,0,0,HIGH,1
221,1,0,0,0,0,0,11.0,0,0,1,0,0,1,FoodBeverage,ON,19,2023-01-16,2023-08-23,219,0.9473684210526315,0.8947368421052632,0.7368421052631579,0.631578947368421,0.6842105263157895,0.0,0.6842105263157895,0.6842105263157895,10.0,11.526315789473685,1,0,1,0,0,0,0,0,0,1,0,0,1,0,12.166666666666666,0,0,0,0,0,0,0,0,1,0,2,2023-01-19 20:19:11+00:00,2023-02-28 18:10:28+00:00,1,1,39,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,0.5,45.007646559048425,39.0,4,2023-05-27,2024-01-31,249,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,62.25,1,0,0,0,0,1,1,1,83.0,0,0,0,0,1,0,0,HIGH,1
282,1,0,0,0,0,1,60.0,0,0,0,1,1,0,FoodBeverage,CA,750,2021-04-08,2024-03-06,1063,0.9986666666666667,0.9973333333333333,0.9933333333333333,0.9906666666666667,0.992,0.0,0.992,0.992,375.5,1.4173333333333333,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1.4192256341789051,0,0,0,0,0,0,0,0,0,1,24,2023-09-26 14:57:40+00:00,2024-02-06 20:16:40+00:00,8,16,133,0.9583333333333334,0.9166666666666666,0.7916666666666666,0.7083333333333334,1.0,0.0,1.0,1.0,12.5,4.416666666666667,8.083333333333334,7.375637213254035,5.478260869565218,5,2022-12-18,2024-01-23,401,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,80.2,1,0,0,0,0,1,1,1,100.25,0,0,0,0,1,0,0,HIGH,1
689,1,0,0,0,0,0,7.0,0,0,0,0,1,0,FoodBeverage,CA,1,2024-01-10,2024-01-10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,0,0,0,1,0,1,2020-11-13 14:38:02+00:00,2020-11-13 14:38:02+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,1,2023-11-28,2023-11-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,101.44563358772535,0,0,0,0,1,0,0,HIGH,0
748,1,0,0,0,0,1,13.0,0,0,0,0,1,0,FoodBeverage,CA,3,2021-05-03,2021-11-08,189,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.0,63.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,94.5,0,0,0,0,0,0,0,0,1,0,2,2022-09-13 16:07:55+00:00,2022-10-31 18:42:11+00:00,0,2,48,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,49.507646559048425,48.0,16,2021-11-18,2023-11-19,731,0.9375,0.875,0.6875,0.5625,0.625,0.0,0.625,0.625,8.5,45.6875,1,0,0,0,0,1,1,0,48.733333333333334,0,0,0,0,1,0,0,HIGH,0
928,1,0,0,0,0,0,8.0,0,0,0,0,1,0,FoodBeverage,CT,2,2022-01-21,2023-09-01,588,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,294.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,588.0,0,0,0,0,0,0,1,0,0,0,3,2022-02-04 14:01:07+00:00,2022-02-15 21:07:38+00:00,1,2,11,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,20.671764372698952,5.5,4,2023-06-12,2023-12-06,177,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,44.25,1,0,0,0,0,0,1,0,59.0,0,0,0,0,0,1,0,HIGH,0
1410,0,0,0,0,0,1,65.0,0,0,0,1,1,0,FoodBeverage,KS,2,2023-01-13,2023-06-21,159,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,79.5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,159.0,0,0,0,0,0,0,0,0,1,0,19,2020-11-09 14:20:16+00:00,2023-06-14 14:39:20+00:00,9,10,947,0.9473684210526315,0.8947368421052632,0.7368421052631579,0.631578947368421,1.0,0.0,1.0,1.0,10.0,5.684210526315789,4.315789473684211,52.36922595358405,52.44444444444444,58,2021-07-13,2024-02-17,949,0.9827586206896551,0.9655172413793104,0.9137931034482759,0.8793103448275862,0.896551724137931,0.0,0.896551724137931,0.896551724137931,29.5,16.362068965517242,1,0,0,1,0,1,1,1,16.649122807017545,0,0,0,0,0,1,0,HIGH,0
1438,1,0,0,0,0,0,20.0,0,0,1,0,1,0,FoodBeverage,KY,1,2024-02-02,2024-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102.48327576368627,0,0,0,0,0,1,0,0,0,0,1,2023-12-07 15:14:00+00:00,2023-12-07 15:14:00+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,1,2023-10-05,2023-10-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,101.44563358772535,0,0,1,0,0,0,0,HIGH,0
1670,0,0,0,0,0,1,39.0,0,0,0,1,1,0,FoodBeverage,MI,6,2021-05-21,2023-03-08,656,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,3.5,109.33333333333333,1,0,0,0,0,0,0,0,0,0,1,0,1,0,131.2,0,0,0,0,0,0,0,0,1,0,4,2020-05-19 12:39:06+00:00,2021-05-13 14:45:53+00:00,0,4,359,0.75,0.5,0.0,0.0,1.0,0.0,1.0,1.0,2.5,0.0,2.5,102.25382327952421,119.33333333333333,16,2021-12-09,2024-01-02,754,0.9375,0.875,0.6875,0.5625,0.625,0.0,0.625,0.625,8.5,47.125,1,0,0,1,0,1,1,1,50.266666666666666,0,0,0,0,1,0,0,HIGH,0
2123,0,0,0,0,0,1,29.0,0,0,0,0,1,0,FoodBeverage,NY,5,2021-07-19,2023-03-07,596,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,119.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,149.0,0,0,0,0,0,0,0,0,1,0,2,2020-10-29 14:06:56+00:00,2022-07-20 01:40:15+00:00,2,0,628,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.5,0.0,339.50764655904845,628.0,12,2021-03-15,2024-02-28,1080,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.4166666666666667,0.5,0.0,0.5,0.5,6.5,90.0,1,0,1,1,0,1,1,1,98.18181818181819,0,0,0,0,0,1,0,HIGH,0
2733,1,0,0,0,0,1,20.0,0,0,0,0,1,0,FoodBeverage,TX,4,2022-01-28,2023-03-28,424,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,106.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,141.33333333333334,0,0,0,0,0,0,0,0,1,0,1,2022-03-01 16:16:33+00:00,2022-03-01 16:16:33+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,2,2021-09-15,2023-01-26,498,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,249.0,1,0,0,1,0,0,0,0,498.0,0,0,1,0,0,0,0,HIGH,0
