id_number,org_size_1_99,org_size_100_499,org_size_500_999,org_size_1000_4999,org_size_greaterthan_5000,Has_Website,Number_of_Vehicles__c,Segment_E,SegmentE3,SegmentA1,SegmentA2,US_Country,CA_Country,Industry,billingstatecode,total_actions,first_action_date,last_action_date,click_count,reply_count,email_interaction_length_days,action_count_lag_1,action_count_lag_2,action_count_lag_5,action_count_lag_7,action_count_rolling_avg_7,rolling_std_7,rolling_median_7,weekly_interaction_rate,cumulative_action_count,cumulative_click_count,cumulative_reply_count,days_since_last_action,avg_time_between_interactions,D&B_Score,target_met
3010,0,0,0,0,0,1,35.0,0,0,0,1,1,0,WholesaleTrade,WI,1,2020-08-11 20:23:48+00:00,2020-08-11 20:23:48+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
174,0,0,0,0,0,1,66.0,0,0,0,1,1,0,Utilities,UT,12,2020-12-21 14:28:46+00:00,2024-02-28 18:37:13+00:00,4,8,1164,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.4166666666666667,1.0,0.0,1.0,1.0,6.5,2.75,3.75,100.8346077598414,105.36363636363636,HIGH,1
178,0,0,0,0,0,1,90.0,1,0,0,0,1,0,Utilities,TX,5,2020-03-27 18:49:54+00:00,2020-06-22 15:25:40+00:00,1,4,86,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.8,2.2,27.20305862361937,21.25,HIGH,1
269,1,0,0,0,0,1,38.0,0,0,0,1,0,1,Utilities,ON,14,2023-06-07 17:22:48+00:00,2024-02-15 17:04:22+00:00,1,13,252,0.9285714285714286,0.8571428571428571,0.6428571428571429,0.5,1.0,0.0,1.0,1.0,7.5,0.21428571428571427,7.285714285714286,21.358235222721202,19.076923076923077,HIGH,1
293,1,0,0,0,0,1,1.2412536235234216e+16,0,1,0,0,1,0,Utilities,SC,8,2021-03-26 12:31:46+00:00,2024-02-15 14:10:18+00:00,2,6,1056,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,1.875,2.625,138.0019116397621,150.42857142857142,HIGH,1
1654,1,0,0,0,0,1,24.0,0,0,0,0,1,0,Utilities,MI,2,2020-08-04 18:43:51+00:00,2020-09-25 19:32:49+00:00,1,1,52,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,0.5,51.507646559048425,52.0,HIGH,0
1717,1,0,0,0,0,1,20.0,0,0,0,0,1,0,Utilities,MN,2,2021-02-08 15:22:46+00:00,2021-02-11 16:32:41+00:00,0,2,3,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,27.00764655904843,3.0,HIGH,0
1779,1,0,0,0,0,1,50.0,0,0,0,1,1,0,Utilities,MO,1,2023-08-29 18:33:58+00:00,2023-08-29 18:33:58+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1815,1,0,0,0,0,1,15.0,0,0,0,0,1,0,Utilities,MT,1,2020-06-25 20:30:20+00:00,2020-06-25 20:30:20+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1941,1,0,0,0,0,1,4.0,0,0,1,0,1,0,Utilities,NJ,1,2021-06-09 17:36:38+00:00,2021-06-09 17:36:38+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2130,1,0,0,0,0,1,50.0,0,0,0,1,1,0,Utilities,NY,1,2021-03-03 18:33:53+00:00,2021-03-03 18:33:53+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
2690,1,0,0,0,0,0,8.0,0,0,0,0,1,0,Utilities,TX,1,2021-11-02 18:29:32+00:00,2021-11-02 18:29:32+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
12,1,0,0,0,0,0,4.0,0,0,0,0,1,0,Unknown,MS,2,2020-08-13 17:53:19+00:00,2020-08-13 17:53:19+00:00,1,1,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.0,0.5,25.50764655904843,0.0,HIGH,1
53,1,0,0,0,0,0,10.0,0,0,1,0,1,0,Unknown,PA,3,2024-01-09 15:26:30+00:00,2024-02-21 18:56:14+00:00,1,2,43,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,31.338431039365616,21.5,HIGH,1
54,1,0,0,0,0,1,10.0,0,0,0,0,1,0,Unknown,TX,2,2020-02-27 21:14:55+00:00,2020-02-27 21:14:55+00:00,1,1,0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.5,1.0,25.50764655904843,0.0,MEDIUM,1
57,1,0,0,0,0,0,11.0,0,0,0,0,1,0,Unknown,IA,8,2022-08-30 20:05:20+00:00,2023-12-08 17:47:53+00:00,1,7,464,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,0.875,3.625,64.12691163976211,66.0,HIGH,1
59,1,0,0,0,0,0,12.0,0,0,0,0,1,0,Unknown,IL,2,2023-08-29 22:44:30+00:00,2023-10-02 18:48:13+00:00,0,2,33,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,42.007646559048425,33.0,HIGH,1
67,1,0,0,0,0,0,15.0,0,0,0,0,1,0,Unknown,AR,1,2021-02-12 21:32:35+00:00,2021-02-12 21:32:35+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,1
72,1,0,0,0,0,0,15.0,0,0,1,0,1,0,Unknown,OH,8,2023-09-25 20:03:46+00:00,2024-01-09 21:07:40+00:00,1,7,106,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,0.5,4.0,19.376911639762106,14.857142857142858,HIGH,1
87,1,0,0,0,0,0,20.0,0,0,0,0,1,0,Unknown,CA,1,2023-02-28 18:37:44+00:00,2023-02-28 18:37:44+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,1
99,1,0,0,0,0,1,28.0,0,0,1,0,1,0,Unknown,NJ,8,2022-06-01 13:41:36+00:00,2022-09-07 19:11:14+00:00,1,7,98,0.875,0.75,0.375,0.125,1.0,0.0,1.0,1.0,4.5,0.125,4.375,18.501911639762106,13.857142857142858,HIGH,1
111,1,0,0,0,0,0,40.0,0,0,0,1,1,0,Unknown,CT,4,2023-06-28 17:59:01+00:00,2023-08-02 14:01:53+00:00,1,3,34,0.75,0.5,0.0,0.0,1.0,0.0,1.0,1.0,2.5,1.0,1.5,21.003823279524212,11.0,HIGH,1
187,1,0,0,0,0,0,22125733039712.0,0,0,1,0,0,1,Unknown,ON,10,2023-07-06 16:54:02+00:00,2023-10-12 14:00:15+00:00,9,1,97,0.9,0.8,0.5,0.3,1.0,0.0,1.0,1.0,5.5,5.3,0.2,14.801529311809684,10.777777777777779,HIGH,1
204,1,0,0,0,0,0,8.0,0,0,1,0,1,0,Unknown,TX,11,2021-11-30 21:41:00+00:00,2023-03-14 18:58:53+00:00,2,9,468,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.36363636363636365,1.0,0.0,1.0,1.0,6.0,1.7272727272727273,4.2727272727272725,46.910481192554265,46.5,HIGH,1
208,1,0,0,0,0,0,9.0,0,0,1,0,1,0,Unknown,TX,9,2022-01-10 17:52:33+00:00,2023-11-27 14:24:17+00:00,2,7,685,0.8888888888888888,0.7777777777777778,0.4444444444444444,0.2222222222222222,1.0,0.0,1.0,1.0,5.0,0.8888888888888888,4.111111111111111,81.66836590201076,85.5,HIGH,1
212,1,0,0,0,0,0,10.0,0,0,1,0,0,1,Unknown,ON,25,2023-03-28 16:38:25+00:00,2024-01-04 15:33:12+00:00,10,15,281,0.96,0.92,0.8,0.72,1.0,0.0,1.0,1.0,13.0,4.0,9.0,12.880611724723874,11.291666666666666,HIGH,1
222,1,0,0,0,0,0,11.0,0,0,1,0,1,0,Unknown,SC,13,2023-07-28 14:32:30+00:00,2023-08-17 14:59:53+00:00,2,11,20,0.9230769230769231,0.8461538461538461,0.6153846153846154,0.46153846153846156,1.0,0.0,1.0,1.0,7.0,1.6923076923076923,5.3076923076923075,5.1550225475459115,1.3333333333333333,HIGH,1
225,1,0,0,0,0,1,12.0,0,0,1,0,1,0,Unknown,LA,15,2021-10-28 15:34:16+00:00,2023-01-05 16:52:33+00:00,5,10,434,0.9333333333333333,0.8666666666666667,0.6666666666666666,0.5333333333333333,1.0,0.0,1.0,1.0,8.0,2.2666666666666666,5.733333333333333,32.00101954120645,30.642857142857142,HIGH,1
512,1,0,0,0,0,0,2.0,0,0,0,0,0,1,Unknown,BC,1,2021-10-07 06:58:17+00:00,2021-10-07 06:58:17+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
543,1,0,0,0,0,0,4.0,0,0,0,0,0,1,Unknown,BC,2,2020-11-05 16:52:41+00:00,2020-11-09 13:46:44+00:00,2,0,3,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.5,0.0,27.00764655904843,3.0,HIGH,0
597,1,0,0,0,0,1,2.0,0,0,0,0,1,0,Unknown,CA,1,2021-04-14 14:44:59+00:00,2021-04-14 14:44:59+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
784,1,0,0,0,0,0,24.0,0,0,0,0,1,0,Unknown,CA,1,2023-12-04 19:33:41+00:00,2023-12-04 19:33:41+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
832,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,CA,1,2021-05-14 16:31:59+00:00,2021-05-14 16:31:59+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1006,1,0,0,0,0,1,5.0,0,0,0,0,1,0,Unknown,FL,5,2021-05-28 16:38:32+00:00,2021-09-29 14:06:17+00:00,3,2,123,0.8,0.6,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,34.80305862361937,30.75,HIGH,0
1080,1,0,0,0,0,0,1.0,0,0,0,0,1,0,Unknown,FL,1,2022-10-14 14:38:40+00:00,2022-10-14 14:38:40+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1273,1,0,0,0,0,0,15.0,0,0,0,0,1,0,Unknown,IL,1,2022-12-12 14:47:36+00:00,2022-12-12 14:47:36+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1274,1,0,0,0,0,1,15.0,0,0,0,0,1,0,Unknown,IL,1,2022-03-11 14:58:37+00:00,2022-03-11 14:58:37+00:00,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,51.01529311809686,123.51027774946985,HIGH,0
1347,1,0,0,0,0,0,19.0,0,0,0,0,1,0,Unknown,IN,2,2022-06-13 18:44:43+00:00,2023-02-24 15:50:56+00:00,0,2,255,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,0.0,1.5,153.00764655904842,255.0,HIGH,0
1433,1,0,0,0,0,0,11.0,0,0,1,0,1,0,Unknown,KY,3,2021-12-22 22:01:03+00:00,2023-06-14 16:34:43+00:00,2,1,538,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.6666666666666667,0.3333333333333333,196.0050977060323,268.5,HIGH,0
1491,1,0,0,0,0,0,6.0,0,0,1,0,1,0,Unknown,MA,3,2021-10-08 16:24:00+00:00,2021-10-11 16:03:11+00:00,3,0,2,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,17.671764372698952,1.0,HIGH,0
1505,1,0,0,0,0,0,10.0,0,0,0,0,1,0,Unknown,MA,2,2023-03-01 19:48:33+00:00,2023-03-08 15:44:31+00:00,2,0,6,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.5,1.5,0.0,28.50764655904843,6.0,HIGH,0
1529,1,0,0,0,0,0,16.0,0,0,0,0,0,1,Unknown,MB,1,2023-12-20 16:13:00+00:00,2023-12-20 16:13:00+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
1567,1,0,0,0,0,0,15.0,0,0,1,0,1,0,Unknown,MD,21,2022-08-31 15:07:01+00:00,2023-11-03 18:32:12+00:00,8,13,429,0.9523809523809523,0.9047619047619048,0.7619047619047619,0.6666666666666666,1.0,0.0,1.0,1.0,11.0,4.571428571428571,6.428571428571429,22.52453776752842,21.1,HIGH,0
1571,1,0,0,0,0,0,22.0,0,0,0,0,1,0,Unknown,MD,1,2023-04-18 15:38:49+00:00,2023-04-18 15:38:49+00:00,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,51.01529311809686,123.51027774946985,HIGH,0
